Station,avg_rain,std_rain,max_rain,median_rain,total_rain,total_hours,max_24h,avg_24h,p95_24h,max_72h,rainy_hours,heavy_events,extreme_events,nemr_hours,sw_hours,latitude,longitude,district,rain_freq,heavy_rate,extreme_rate,nemr_rain_share,sw_rain_share,risk_score,risk_label
Anaikidangu,3.3561111111111113,14.261596176509197,200.0,0.5,6041.0,1800,1764.0,80.4636111111111,202.74999999999977,2125.0,583,107,19,991,536,8.2347,77.377894,Kanyakumari,0.3238888888888889,0.059444444444444446,0.010555555555555556,0.5505555555555556,0.29777777777777775,0.24655172413793103,0
Annavasal_1,4.179577464788732,10.129197409455353,183.5,1.0,2967.5,710,368.0,99.09084507042253,202.27499999999998,592.0,345,81,14,304,225,10.461111,78.701111,Pudukkottai,0.4859154929577465,0.11408450704225352,0.01971830985915493,0.428169014084507,0.31690140845070425,0.7210344827586206,2
Aralvaimozhi,3.783613445378151,13.33696780489925,200.0,1.0,4502.5,1190,1249.5,90.42478991596639,182.42499999999984,1420.0,575,68,13,535,368,8.24722222,77.545,Kanyakumari,0.4831932773109244,0.05714285714285714,0.010924369747899159,0.4495798319327731,0.3092436974789916,0.4089655172413793,1
Aranthangi_1,6.452547103977669,22.263542943915112,200.0,1.0,9246.5,1433,2981.0,154.63224005582694,528.0999999999991,3355.5,680,147,51,572,377,10.16,79.004167,Pudukkottai,0.47452896022330776,0.10258199581297976,0.03558967201674808,0.3991625959525471,0.2630844382414515,0.7882758620689656,2
Aravakuruchi,2.9530120481927713,13.078572401273131,200.0,0.5,2451.0,830,807.5,70.61084337349398,163.29999999999973,978.0,254,40,9,390,222,10.773333,77.91,Karur,0.3060240963855422,0.04819277108433735,0.010843373493975903,0.46987951807228917,0.2674698795180723,0.1920689655172414,0
Ariyalur_1,15.240510471204189,36.61440309069871,200.0,2.5,23287.5,1528,3432.5,365.5032722513089,1394.3249999999998,4512.0,955,334,188,1127,278,11.136389,79.076389,Ariyalur,0.625,0.21858638743455497,0.12303664921465969,0.737565445026178,0.18193717277486912,0.9772413793103447,2
Bavanisagar Dam,3.5227552275522753,10.203370991564038,200.0,1.0,2864.0,813,342.0,84.17589175891759,187.5,526.0,354,64,11,343,270,11.47333333,77.13027778,Erode,0.4354243542435424,0.07872078720787208,0.013530135301353014,0.4218942189421894,0.33210332103321033,0.4186206896551724,1
Bodinayakkanur_1,1.6110744891232696,2.7838269662859423,38.5,0.5,2444.0,1517,154.0,38.5336189848385,91.5,277.5,492,24,3,850,304,10.019722,77.327778,Theni,0.32432432432432434,0.015820698747528016,0.001977587343441002,0.5603164139749506,0.2003955174686882,0.021034482758620687,0
Budalur_1,4.672021419009371,13.888856279413753,200.0,1.5,3490.0,747,655.5,111.5508701472557,257.0,973.5,379,66,17,414,204,10.785833,78.980278,Thanjavur,0.5073627844712182,0.08835341365461848,0.022757697456492636,0.5542168674698795,0.27309236947791166,0.7024137931034482,2
Chennai Mylapore (DGPOffice),4.5464684014869885,12.259897734595368,200.0,1.5,8561.0,1883,1457.0,108.6465746149761,229.39999999999986,1690.5,975,194,35,1207,450,13.04138889,80.27916667,Chennai,0.5177907594264471,0.10302708443972385,0.01858736059479554,0.6409984067976633,0.23898035050451408,0.7289655172413793,2
Cheranmahadevi,4.2397186147186146,14.27745695734503,200.0,1.0,3917.5,924,724.5,101.34686147186147,325.0499999999997,945.5,438,78,17,524,138,8.69,77.5625,Tirunelveli,0.474025974025974,0.08441558441558442,0.0183982683982684,0.5670995670995671,0.14935064935064934,0.5906896551724138,1
Cheyyar Anicut,3.560902896081772,7.711463076595556,143.0,1.0,4180.5,1174,319.0,84.84454855195911,173.0,613.0,566,91,20,662,347,12.59388889,79.38722222,Tiruvannamalai,0.48211243611584326,0.07751277683134583,0.017035775127768313,0.5638841567291312,0.29557069846678025,0.48344827586206895,1
Chithraichavadi Anicut,3.2169243986254297,13.231030535691911,200.0,1.0,3744.5,1164,971.0,76.87242268041237,213.5,1427.5,479,55,11,384,548,10.96888889,76.82611111,Coimbatore,0.4115120274914089,0.04725085910652921,0.009450171821305841,0.32989690721649484,0.47079037800687284,0.22689655172413792,0
Coonoor_1,7.701619778346121,26.319294479130686,200.0,1.0,9034.0,1173,1384.0,184.37254901960785,674.4999999999997,1613.5,585,130,52,552,370,11.342222,76.806111,Nilgiris,0.49872122762148335,0.11082693947144075,0.0443307757885763,0.47058823529411764,0.3154305200341006,0.8634482758620691,2
Dusi Ayyangarkulam,3.1069266980497647,10.988477344807235,200.0,1.0,4620.0,1487,1025.0,73.73133826496301,147.4000000000001,1164.5,588,81,14,693,693,12.78416667,79.66388889,Tiruvannamalai,0.3954270342972428,0.05447209145931405,0.00941492938802959,0.4660390047074647,0.4660390047074647,0.21482758620689657,0
Ellis Anicut,4.668571428571428,17.925611061008446,200.0,0.5,6536.0,1400,1198.0,111.4575,622.6749999999998,2362.0,524,110,32,627,649,11.90305556,79.40527778,Viluppuram,0.3742857142857143,0.07857142857142857,0.022857142857142857,0.44785714285714284,0.4635714285714286,0.5541379310344827,1
Elumalai_1,4.881084840055633,10.510644740475264,145.5,1.5,3509.5,719,347.0,116.52433936022253,276.1,656.5,398,81,17,425,105,9.863889,77.697778,Madurai,0.5535465924895688,0.11265646731571627,0.02364394993045897,0.5910987482614742,0.14603616133518776,0.8148275862068965,2
Gollapally,2.5765171503957784,4.647915685372492,49.5,1.0,1953.0,758,175.5,61.367414248021106,115.57499999999999,320.0,336,37,4,324,301,13.03194444,78.86444444,Vellore,0.44327176781002636,0.048812664907651716,0.005277044854881266,0.42744063324538256,0.3970976253298153,0.17275862068965517,0
Grand Anicut,4.025696864111498,7.816916131387841,103.5,1.5,4621.5,1148,635.5,96.18162020905923,227.9749999999998,863.0,603,117,18,519,279,10.82861111,78.81805556,Tiruchirappalli,0.5252613240418118,0.1019163763066202,0.0156794425087108,0.4520905923344948,0.24303135888501742,0.6727586206896552,2
Gudalore_1,15.621681415929203,45.20452730938202,200.0,1.0,24713.5,1582,4564.0,369.8729456384324,2627.3249999999775,12163.5,772,236,145,173,1213,11.501389,76.491944,Nilgiris,0.4879898862199747,0.14917825537294563,0.09165613147914033,0.10935524652338811,0.7667509481668774,0.9220689655172414,2
Gudalore_M,1.827021121631464,3.8017246658174435,65.0,0.5,2508.5,1373,164.0,43.63619810633649,110.19999999999993,290.5,403,39,4,460,605,9.68,77.23527778,Theni,0.29351784413692644,0.028404952658412235,0.0029133284777858705,0.3350327749453751,0.4406409322651129,0.03172413793103448,0
Harur_3,2.2663817663817665,9.432672665102265,200.0,0.5,2386.5,1053,564.0,53.744064577397914,107.0,678.0,320,31,5,404,376,12.051667,78.475,Dharmapuri,0.30389363722697055,0.029439696106362774,0.004748338081671415,0.38366571699905033,0.3570750237416904,0.05551724137931034,0
Hosur,3.1262626262626263,5.377914203934693,49.0,1.0,2785.5,891,233.5,74.79629629629629,166.5,502.0,404,70,7,352,450,12.72722222,77.82777778,Krishnagiri,0.45342312008978675,0.07856341189674523,0.007856341189674524,0.3950617283950617,0.5050505050505051,0.31413793103448273,0
