Station,district,latitude,longitude,avg_rain,max_24h,heavy_rate,extreme_rate,rain_freq,risk_score,risk_label,risk_level
Thiruvadanai_1,Ramanathapuram,9.783333,78.916667,35.76488095238095,4363.5,0.3522727272727273,0.237012987012987,0.7072510822510822,1.0,2,High
Natham_1,Dindigul,10.230278,78.228611,21.82250922509225,3319.5,0.2649446494464945,0.17195571955719557,0.5439114391143911,0.9858620689655172,2,High
Palaviduthi_1,Karur,10.646944,78.238333,15.89102564102564,2256.5,0.25769230769230766,0.12692307692307692,0.6115384615384616,0.983103448275862,2,High
Ariyalur_1,Ariyalur,11.136389,79.076389,15.240510471204189,3432.5,0.21858638743455497,0.12303664921465969,0.625,0.9772413793103447,2,High
Thiruthuraipoondi_1,Tiruvarur,10.538889,79.633056,11.298083278255122,1962.5,0.18241903502974224,0.07534699272967614,0.5836087243886319,0.9589655172413794,2,High
Manalmedu_1,Nagapattinam,11.200556,79.601389,9.653327128897162,2542.0,0.17682643089809214,0.06840390879478828,0.6174965100046533,0.9551724137931034,2,High
Nilakottai_1,Dindigul,10.1625,77.854167,8.100363306085377,1317.0,0.14168937329700274,0.053587647593097185,0.5413260672116258,0.9262068965517241,2,High
Gudalore_1,Nilgiris,11.501389,76.491944,15.621681415929203,4564.0,0.14917825537294563,0.09165613147914033,0.4879898862199747,0.9220689655172414,2,High
Tirukoilur,Kallakurichi,11.94638889,79.25027778,12.593553459119496,4304.0,0.15566037735849056,0.07625786163522012,0.4834905660377358,0.9151724137931034,2,High
Vanapuram,Tiruvannamalai,12.10444444,79.01805556,6.6597374179431075,954.5,0.13129102844638948,0.045951859956236324,0.5481400437636762,0.9041379310344828,2,High
Kavalur,Virudhunagar,9.57444444,77.90333333,8.786914765906362,1952.5,0.15126050420168066,0.055222088835534214,0.4837935174069628,0.8968965517241378,2,High
Karunkuzhi,Chengalpattu,12.54305556,79.90444444,6.42981072555205,1310.0,0.13012618296529968,0.04337539432176656,0.5496845425867508,0.8879310344827586,2,High
Thirupalaikudi,Ramanathapuram,9.540556,78.912222,6.615174672489083,1207.0,0.13537117903930132,0.043668122270742356,0.5054585152838428,0.8855172413793102,2,High
Sundakkampalyam,Tiruppur,11.19944444,77.22805556,8.05982905982906,2103.5,0.13247863247863248,0.042735042735042736,0.49002849002849,0.8739655172413793,2,High
Coonoor_1,Nilgiris,11.342222,76.806111,7.701619778346121,1384.0,0.11082693947144075,0.0443307757885763,0.49872122762148335,0.8634482758620691,2,High
Ponnamaravathi_1,Pudukkottai,10.270556,78.535833,17.336389684813753,4286.5,0.18796561604584527,0.12263610315186246,0.3753581661891118,0.8586206896551722,2,High
Lekkur,Cuddalore,11.46611111,79.01861111,6.5586492890995265,1169.5,0.12085308056872038,0.02962085308056872,0.518957345971564,0.8524137931034483,2,High
Melumalai,Krishnagiri,12.61611111,78.08722222,9.53565365025467,3737.0,0.10865874363327674,0.050933786078098474,0.4702886247877759,0.8375862068965516,2,High
Palur,Cuddalore,11.74722222,79.63638889,6.192409532215358,1517.5,0.12709620476610767,0.038834951456310676,0.4854368932038835,0.8365517241379309,2,High
Karaikudi -ARG,Sivaganga,10.075833,78.778611,4.989684466019417,422.5,0.13349514563106796,0.02669902912621359,0.5242718446601942,0.8358620689655173,2,High
