zone_name,zone_lat,zone_lng,station_id,station_name,distance_km
K K Nagar,9.925,78.15,cf695fec-3f75-4532-802a-8bf8e7354177,Madurai_1,2.5593
Simmakkal,9.9252,78.1198,cf695fec-3f75-4532-802a-8bf8e7354177,Madurai_1,2.2217
Tambaram,12.9249,80.1,a1b9e0b0-0b0c-4325-8c24-be1233077294,SGSWRDC Campus (Tharamani site),17.1114
Anna Nagar,13.085,80.2101,e56f106b-6bce-4cd7-b7e3-f9a8581a5a43,Chennai Mylapore (DGPOffice),8.9153
Cantonment,10.805,78.6856,48827b22-9066-4ae5-83e2-ef5312c81df9,Trichycity,1.9479
Perungudi,12.97,80.24,a1b9e0b0-0b0c-4325-8c24-be1233077294,SGSWRDC Campus (Tharamani site),1.8421
Thillai Nagar,10.8282,78.6867,48827b22-9066-4ae5-83e2-ef5312c81df9,Trichycity,1.1169
Perundurai,11.2742,77.5833,056068bb-c984-4e15-8d30-1f3c267d69bd,LBP Quarters Campus,18.1334
Velachery,12.9815,80.218,a1b9e0b0-0b0c-4325-8c24-be1233077294,SGSWRDC Campus (Tharamani site),2.9649
Adyar,13.0012,80.2565,a1b9e0b0-0b0c-4325-8c24-be1233077294,SGSWRDC Campus (Tharamani site),2.1147
Five Roads,11.6811,78.14,3134f9fe-7497-4ed3-8c42-90706081ea90,Mangalapuram,28.9770
Saravanampatti,11.076,76.995,ec3fbc4b-4250-44cf-8160-f889de385641,Chithraichavadi Anicut,21.9462
Gandhipuram,11.0183,76.9682,ec3fbc4b-4250-44cf-8160-f889de385641,Chithraichavadi Anicut,16.4540
Srirangam,10.865,78.69,48827b22-9066-4ae5-83e2-ef5312c81df9,Trichycity,4.9405
Guindy,13.0067,80.2206,a1b9e0b0-0b0c-4325-8c24-be1233077294,SGSWRDC Campus (Tharamani site),3.5175
Porur,13.0352,80.1588,a1b9e0b0-0b0c-4325-8c24-be1233077294,SGSWRDC Campus (Tharamani site),10.8328
Pallavaram,12.9675,80.1491,a1b9e0b0-0b0c-4325-8c24-be1233077294,SGSWRDC Campus (Tharamani site),10.5893
Peelamedu,11.0287,77.0267,ec3fbc4b-4250-44cf-8160-f889de385641,Chithraichavadi Anicut,22.8826
Palayamkottai,8.7186,77.7471,3996a224-38cc-44fb-9207-3b4bc4eb9218,Palayamkottai,3.5439
Anna Nagar Madurai,9.9179,78.1406,cf695fec-3f75-4532-802a-8bf8e7354177,Madurai_1,2.6609
Ambattur,13.1143,80.1548,1beae713-dab8-4419-91a7-6d6a2795983f,RedHills,8.8281
Katpadi,12.9647,79.1318,42567fc4-f5ad-4eda-a336-e4d8cc532d84,Vellore,1.9470
Fairlands,11.675,78.145,3134f9fe-7497-4ed3-8c42-90706081ea90,Mangalapuram,28.1912
RS Puram,11.0115,76.9446,ec3fbc4b-4250-44cf-8160-f889de385641,Chithraichavadi Anicut,13.7743
T Nagar,13.0418,80.2341,e56f106b-6bce-4cd7-b7e3-f9a8581a5a43,Chennai Mylapore (DGPOffice),4.8821
